0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:23:57 +0530] "GET /ArdentFinalProject/manage.jsp HTTP/1.1" 200 18501
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:23:57 +0530] "GET /ArdentFinalProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:23:57 +0530] "GET /ArdentFinalProject/images/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:23:57 +0530] "GET /ArdentFinalProject/images/rss.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:23:57 +0530] "GET /ArdentFinalProject/images/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:24:48 +0530] "GET /ArdentFinalProject/manage.jsp HTTP/1.1" 200 8778
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:24:48 +0530] "GET /ArdentFinalProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:24:48 +0530] "GET /ArdentFinalProject/images/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:24:48 +0530] "GET /ArdentFinalProject/images/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:24:48 +0530] "GET /ArdentFinalProject/images/rss.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:25:23 +0530] "GET /ArdentFinalProject/manage.jsp HTTP/1.1" 200 8765
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:25:23 +0530] "GET /ArdentFinalProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:25:23 +0530] "GET /ArdentFinalProject/images/rss.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:25:23 +0530] "GET /ArdentFinalProject/images/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:25:23 +0530] "GET /ArdentFinalProject/images/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:32:20 +0530] "GET /ArdentFinalProject/index.jsp HTTP/1.1" 200 6201
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:32:20 +0530] "GET /ArdentFinalProject/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:32:20 +0530] "GET /ArdentFinalProject/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:32:20 +0530] "GET /ArdentFinalProject/js/jquery.easing-sooper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:32:20 +0530] "GET /ArdentFinalProject/js/jquery.sooperfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:32:24 +0530] "GET /ArdentFinalProject/examples.jsp HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:32:24 +0530] "GET /ArdentFinalProject/images/top.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:32:29 +0530] "GET /ArdentFinalProject/another_page.jsp HTTP/1.1" 200 4177
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:32:31 +0530] "GET /ArdentFinalProject/index.jsp HTTP/1.1" 200 6201
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:32:33 +0530] "GET /ArdentFinalProject/examples.jsp HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:35:44 +0530] "GET /ArdentFinalProject/index.jsp HTTP/1.1" 200 6201
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:35:44 +0530] "GET /ArdentFinalProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:35:44 +0530] "GET /ArdentFinalProject/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:35:44 +0530] "GET /ArdentFinalProject/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:35:44 +0530] "GET /ArdentFinalProject/js/jquery.easing-sooper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2014:20:35:44 +0530] "GET /ArdentFinalProject/js/jquery.sooperfish.js HTTP/1.1" 304 -
